Title,Artist
Lovin On Me,Jack Harlow
Lil Boo Thang,Paul Russell
White Horse,Chris Stapleton
I Remember Everything (feat. Kacey Musgraves),Zach Bryan
Around Me the Cold Night,Luminara Stellaris
Need A Favor,Jelly Roll
Save Me (with Lainey Wilson),Jelly Roll
90s Rap Mashup,Austin Williams
Next Winter I Will Wait for You Forever,Luminara Stellaris
Standing Next to You,Jung Kook
Cruel Summer,Taylor Swift
3D,Jung Kook & Jack Harlow
Even Though I Know You,Luminara Stellaris
Thinkin’ Bout Me,Morgan Wallen
All I Want for Christmas Is You,Mariah Carey
Christmas / Sarajevo 12/24 (Instrumental),Trans-Siberian Orchestra
In the Sky a White Cloud Drifted Lazily,Luminara Stellaris
greedy,Tate McRae
Standing Next to You (Band Version),Jung Kook
Fast Car,Luke Combs
Now And Then,The Beatles
Sin So Sweet,Warren Zeiders
Standing Next to You (Future Funk Remix),Jung Kook
Standing Next to You (Slow Jam Remix),Jung Kook
Standing Next to You (Holiday Remix),Jung Kook
Standing Next to You (Instrumental),Jung Kook
Lose Control,Teddy Swims
Standing Next to You (Latin Trap Remix),Jung Kook
Standing Next to You (PBR&B Remix),Jung Kook
Houdini,Dua Lipa
Water,Tyla
Now I Know I Know I've Lost You,Luminara Stellaris
Rockin' Around the Christmas Tree (Single),Brenda Lee
Last Night,Morgan Wallen
Where the Wild Things Are,Luke Combs
The Wind Brings Winter,Luminara Stellaris
Paint The Town Red,Doja Cat
Fairytale Of Philadelphia,"The Philly Specials, Jason Kelce & Travis Kelce"
Still Not Fade the Footprints,Luminara Stellaris
Why Don't You Tell the Truth ?,The day you
Tonight I Dreamed a Pink Dream,Luminara Stellaris
Wrap Me Up,Jimmy Fallon & Meghan Trainor
You Don't Need to Worry,The day you
My Heart Has Come Back,Luminara Stellaris
Flyin' Pass (Single),Caldwell
I Still Miss You Every Time Dusk Falls,Luminara Stellaris
If You Dont Have One-The Day You,The day you
The Pink Rays of Sunlight Disappear,Luminara Stellaris
Rich Men North of Richmond,Oliver Anthony Music
The Buds of Youth Are Still Lingering There,Luminara Stellaris
Weather Forecast Today Rain,The day you
To Be A Man (feat. Darius Rucker),Dax
Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes),Olivia Rodrigo
Better Place (From TROLLS Band Together),*NSYNC & Justin Timberlake
Wild Ones (Extended Version),Jessie Murph & Jelly Roll
Karma,Taylor Swift
Used To Be Young,Miley Cyrus
Evil Ways (feat. J. Cole),Drake
Forever Settled Inside Me,Luminara Stellaris
Snowman,Sia
Save Me,Jelly Roll
My Arms Are Spread Wide With Joy,Luminara Stellaris
So It's Sad to Be Apart,Luminara Stellaris
Please Stay Don't Go,The day you
Fancy Like Christmas,Walker Hayes
Seven (Explicit Ver.),Jung Kook & Latto
The Christmas Song (Merry Christmas to You),"Nat ""King"" Cole"
You Broke My Heart,Drake
exes,Tate McRae
Watermelon Moonshine,Lainey Wilson
MONACO,Bad Bunny
Islands In the Stream,Dolly Parton & Kenny Rogers
Anti-Hero,Taylor Swift
The Painter,Cody Johnson
Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
Those Who Leave Will Not Return,Luminara Stellaris
Tennessee Whiskey,Chris Stapleton
Lover,Taylor Swift
Son Of A Sinner,Jelly Roll
Dance The Night,Dua Lipa
Gratitude,Brandon Lake
Autumn Comes Dry,Luminara Stellaris
Wizards in Winter (Instrumental),Trans-Siberian Orchestra
Bigger Than The Whole Sky,Taylor Swift
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
The Chipmunk Song (Christmas Don't Be Late),Alvin & The Chipmunks
See You in Another Time,The day you
Stay With Me Santa (Mrs. Claus' Christmas Wish),SMITH
Missing the Fragrant Afternoon,Luminara Stellaris
I Hold the Storm in My Heart,The day you
Daylight,David Kushner
Keith,Kaylee Bell
TRUCK BED,HARDY
White Christmas,Bing Crosby
Flowers,Miley Cyrus
vampire,Olivia Rodrigo
Pretty Little Poison,Warren Zeiders
Presha,2 Chainz & Lil Wayne
Strangers,Kenya Grace
G6,2 Chainz & Lil Wayne
Snooze,SZA
I Remember Everything,Zach Bryan Featuring Kacey Musgraves
Greedy,Tate McRae
Thinkin' Bout Me,Morgan Wallen
Agora Hills,Doja Cat
Rich Baby Daddy,Drake Featuring Sexyy Red & SZA
All I Want For Christmas Is You,Mariah Carey
Fukumean,Gunna
Save Me,Jelly Roll With Lainey Wilson
Vampire,Olivia Rodrigo
Monaco,Bad Bunny
First Person Shooter,Drake Featuring J. Cole
IDGAF,Drake Featuring Yeat
What Was I Made For?,Billie Eilish
Good Good,"Usher, Summer Walker & 21 Savage"
My Love Mine All Mine,Mitski
Stick Season,Noah Kahan
Last Christmas,Wham!
Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift
Dial Drunk,Noah Kahan With Post Malone
What It Is (Block Boy),Doechii Featuring Kodak Black
Kill Bill,SZA
Northern Attitude,Noah Kahan With Hozier
Jingle Bell Rock,Bobby Helms
Harley Quinn,Fuerza Regida & Marshmello
I Know ?,Travis Scott
Wild Ones,Jessie Murph & Jelly Roll
A Holly Jolly Christmas,Burl Ives
Barbie World,Nicki Minaj & Ice Spice With Aqua
World On Fire,Nate Smith
On My Mama,Victoria Monet
Slut! (Taylor's Version) [From The Vault],Taylor Swift
Standing Next To You,Jung Kook
500lbs,Lil Tecca
Say Don't Go (Taylor's Version) [From The Vault],Taylor Swift
Bad Idea Right?,Olivia Rodrigo
Great Gatsby,Rod Wave
Get Him Back!,Olivia Rodrigo
Can't Have Mine,Dylan Scott
Virginia Beach,Drake
Everything I Love,Morgan Wallen
Standing Room Only,Tim McGraw
Try That In A Small Town,Jason Aldean
Cobra,Megan Thee Stallion
Truck Bed,HARDY
Qlona,Karol G & Peso Pluma
Too Much,"The Kid LAROI, Jung Kook & Central Cee"
Perro Negro,Bad Bunny & Feid
Hey Driver,Zach Bryan Featuring The War And Treaty
Style (Taylor's Version),Taylor Swift
Rich Men North Of Richmond,Oliver Anthony Music
Meltdown,Travis Scott Featuring Drake
Bongos,Cardi B & Megan Thee Stallion
Slime You Out,Drake Featuring SZA
Segun Quien,Maluma & Carin Leon
Que Onda,Calle 24 x Chino Pacas x Fuerza Regida
Single Soon,Selena Gomez
Burn It Down,Parker McCollum
LaLa,Myke Towers
Bad Blood (Taylor's Version),Taylor Swift
Can't Catch Me Now,Olivia Rodrigo
Turks & Caicos,Rod Wave Featuring 21 Savage
SkeeYee,Sexyy Red
Out Of The Woods (Taylor's Version),Taylor Swift
Wildest Dreams (Taylor's Version),Taylor Swift
El Amor de Su Vida,Grupo Frontera & Grupo Firme
Save Me The Trouble,Dan + Shay
Stars Like Confetti,Dustin Lynch
LALALALA,Stray Kids
Seven,Jung Kook Featuring Latto
Suburban Legends (Taylor's Version) [From The Vault],Taylor Swift
Blank Space (Taylor's Version),Taylor Swift
We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton
Smurk Carter,Lil Durk
Mi Ex Tenia Razon,Karol G
Different 'Round Here,Riley Green Featuring Luke Combs
But I Got A Beer In My Hand,Luke Bryan
Better Than Ever,YoungBoy Never Broke Again & Rod Wave
Soak City (Do It),310babii
